"id","japanese","english","const"
"550",".rpiファイル'%1'をオープンできません。","Unable to open .rpi file '%1' .",""
"551","ファイル""%1""を読み込めません。","Unable to read file ""%1"".",""
"552",".jprファイル""%1""をオープンできません。","Unable to open .ipr file '%1' .",""
"553","開始","Start",""
"554","SMTPサーバ名が指定されていません","SMTP server name not specified",""
"555","送信元メールアドレスが指定されていません","Sender address not specified",""
"556","ディスク容量チェック：顧客ID=%1,使用量=%2%","Disk volume check: CustomerID=%1, Volume Used=%2%",""
"557","ログインID数チェック：顧客ID=%1,超過数=%2","Login ID number check: CustomerID=%1, Overrun=%2",""
"558","ログインID無効化：顧客ID=%1,ID=%2","Login ID nullification: CustomerID=%1, ID=%2",""
"559","[ProcessDirector/コラボレーション開発環境]","[ProcessDirector/collaboration developing environment]",""
"560"," ディスク使用量超過のお知らせ"," Notice of exceeding disk volume",""
"561"," ディスク使用量のお知らせ"," Notice of disk volume used",""
"562"," ログインID登録数超過のお知らせ"," Notice of exceeding registration number of LoginID",""
"563","顧客ID：%1","CustomerID: %1",""
"564","ディスク使用量が100%に達しています。","The amount of disk volume used has reached 100%.",""
"565","新たなコンテンツの登録はできません。","Unable to register new contents.",""
"566","不要なコンテンツを削除してディスク使用量を減らしてください。","Please delete unnecessary contents and reduce the amount of the disk volume used.",""
"567","ディスク使用量が90%を超えています。","The amount of disk volume used is over 90%.",""
"568","ログインIDの登録数が超過したため、超過した分の利用権限を削除しました。","Since the registration number of login ID exceeded, the exceeded use authority was deleted.",""
"569","利用権限を削除したログインIDは以下のとおりです。","The login IDs being withdrawn use authority are as follows.",""
"570","以下のメールが送信されます","The following mails will be transfered",""
"571","[宛先]","[Address]",""
"572","[本文]","[Body text]",""
"573","メール送信エラー","Mail sending error",""
"574","BASP21がインストールされていません","BASP21 is not installed.",""
"575","データベースオープンエラー","Database open error",""
"576","データベースアクセスエラー","Database access error",""
"577","データベース更新エラー","Database update error",""
"578","お知らせ設定","Notice settings",""
"579","新規作成","New",""
"580","タイトル","Title",""
"581","作成日時","Created On",""
"582","削除予定日","Scheduled delete  date",""
"583","お知らせ新規作成","New notice",""
"584","日","Day",""
"585","月","Month",""
"586","年","Year",""
"587","有効期限","Expiry date",""
"588","タイトルを入力してください","Please enter title",""
"589","年を入力してください","Please enter a year",""
"590","月を入力してください","Please enter a month",""
"591","日を入力してください","Please enter a day",""
"592","年が誤っています","The year is mistaken",""
"593","月が誤っています","The month is mistaken",""
"594","日が誤っています","The day is mistaken",""
"595","有効期限には未来の日付を指定してください","Please specify a future date for expiry date",""
"596","本文を入力してください","Please enter body text",""
"597","登録しました","Already registered",""
"598","※設定後、IISを再起動してください。","* Please restart IIS after setting.",""
"599","機能構成の小区分の名称","Function structure's smaller division name",""
"600","機能構成の中区分の名称","Function structure's medium division name",""
"601","機能構成の大区分の名称","Function structure's larger division name",""
"602","ProcessDirectorコラボレーション開発環境 環境設定ツール","ProcessDirector collaboration developing Environment setting tool",""
"603","レジストリからサーバ情報を取得できません","Cannot acquire server information from registry.",""
"604","本文編集","Edit body",""
"605","本文の末尾に追加する文字列を入力してください。","Please enter appended character string at the end of body text.",""
"606","期限通知メール設定","Deadline notice mail settings",""
"607","SMTP認証を使用する","Use SMTP authentication",""
"608","ユーザ名","User name",""
"609","送信対象","Recipient",""
"610","本文編集...","Edit body...",""
"611","報告書","Report",""
"612","コンテンツ","Contents",""
"613","送信タイミング3","Send timing 3",""
"614","指定日を過ぎたら毎回送信","Send each time if specified date passed",""
"615","当日送信","Send on the very day",""
"616","日後に送信","days after send",""
"617","日前に送信","days before send",""
"618","送信タイミング2","Send timing 2",""
"619","送信タイミング1","Send timing 1",""
"620","メールを送信するには、タスクスケジューラでPDInfoMail.exeを1日1回動作させてください。","In order to send mail, please run PDInfoMail.exe once a day with task scheduler.",""
"621","送信者メールアドレス","Mail address of sender",""
"622","送信者メールアドレスを入力してください","Please enter mail address of sender.",""
"623","1～99の数値を入力してください","Please enter numeric value between 1 and 99.",""
"624","ユーザ名を入力してください","Please enter User name",""
"625","送信対象が指定されていません","Sending target not specified",""
"626","コンテンツの処理開始","Contents processing started",""
"627","（確認が完了していません）","(Validation not completed)",""
"628","コンテンツの処理でメールを%1通送信しました","%1 mails was sentted by processing of contents.",""
"629","課題の処理開始","Issue processing started",""
"630","課題の処理でメールを%1通送信しました","%1 mails was sent by processing of issues.",""
"631","報告書の処理開始","Report processing started",""
"632","%1の月間報告","Monthly report of %1",""
"633","状況報告","Status report","PD_C_REPORT_TYPE_REPORT"
"634","報告書の処理でメールを%1通送信しました","%1 mails was sent by processing of reports.",""
"635","レビュー記録票の処理開始","Review report processing started",""
"636","レビュー記録票の処理でメールを%1通送信しました","%1 mails sent when processing review report",""
"637"," (項目番号%1)"," (Item Code %1)",""
"638","障害処理票の処理開始","Defect report processing started",""
"639","障害処理票の処理でメールを%1通送信しました","%1 mails sent when processing defect report",""
"640","（完了承認日が入力されていません）","(Finish approval date not be entered)",""
"641","%1の期限が過ぎています","It is passed the deadline of %1.",""
"642","このメールは ProcessDirector からの自動送信メールです。","This is a mail automatically sent from ProcessDirector.",""
"643","＝＝＝＝＝ 期限についてのお知らせ ＝＝＝＝＝","==== Notice about deadline ====",""
"644","%1の期限が近づいています","It is approaching the deadline of %1",""
"645","： ",": ",""
"646","期限：","Deadine:",""
"647","  ProcessDirectorのURL： ","  URL of ProcessDriector: ",""
